store_name,street,city,state,zip_code,phone,store_url,latitude,longitude,split
Temecula (102),40665 Winchester Rd,Temecula,CA,92591,951-296-9964,https://locations.traderjoes.com/ca/temecula/102/,33.5288349,-117.156097,train
Tustin (197),1198 Irvine Blvd.,Tustin,CA,92780,714-505-3289,https://locations.traderjoes.com/ca/tustin/197/,33.7464492,-117.8095622,train
Vista (259),1861 University Dr,Vista,CA,92083,760-502-9816,https://locations.traderjoes.com/ca/vista/259/,33.17001,-117.21894,train
Livermore (208),1122 A East Stanley Blvd,Livermore,CA,94550,925-243-1947,https://locations.traderjoes.com/ca/livermore/208/,37.6783918,-121.7846059,train
Rancho Palos Verdes - S. Western Ave. (57),28901 S Western Ave,Rancho Palos Verdes,CA,90275,310-832-1241,https://locations.traderjoes.com/ca/rancho-palos-verdes/57/,33.7559816,-118.3114689,train
Santa Maria (239),1303 S Bradley Rd,Santa Maria,CA,93454,805-925-1657,https://locations.traderjoes.com/ca/santa-maria/239/,34.9380455,-120.4209,train
San Jose - Westgate West (62),5269 Prospect,San Jose,CA,95129,408-446-5055,https://locations.traderjoes.com/ca/san-jose/62/,37.2921438,-121.9944505,train
Pasadena (51),610 S Arroyo Pkwy,Pasadena,CA,91105,626-568-9254,https://locations.traderjoes.com/ca/pasadena/51/,34.1351549,-118.1469377,train
Long Beach - Bixby Knolls (116),4210 Long Beach Blvd,Long Beach,CA,90807,562-422-1020,https://locations.traderjoes.com/ca/long-beach/116/,33.8358267,-118.1885399,train
Hastings Ranch (171),467 N Rosemead Blvd,Pasadena,CA,91107,626-351-3399,https://locations.traderjoes.com/ca/pasadena/171/,34.1536991,-118.0782849,train
Irvine - Walnut Village Ctr (37),14443 Culver Dr,Irvine,CA,92604,949-857-8108,https://locations.traderjoes.com/ca/irvine/37/,33.706157,-117.7884259,train
Fresno (8),8478 N. Friant Road,Fresno,CA,93720,559-433-6478,https://locations.traderjoes.com/ca/fresno/8/,36.8580653,-119.7826005,train
San Jose - Cupertino (232),7250 Bollinger Rd,San Jose,CA,95129,408-873-7384,https://locations.traderjoes.com/ca/san-jose/232/,37.3118312,-122.0302679,train
Pleasanton (66),3903 Santa Rita Road,Pleasanton,CA,94588,925-468-0763,https://locations.traderjoes.com/ca/pleasanton/66/,37.6969236,-121.8770007,train
Laguna Niguel - Ocean Ranch (103),32351 Street of the Golden Lantern,Laguna Niguel,CA,92677,949-493-8599,https://locations.traderjoes.com/ca/laguna-niguel/103/,33.4930125,-117.6966048,train
San Dimas (28),856 W Arrow Hwy,San Dimas,CA,91773,909-305-4757,https://locations.traderjoes.com/ca/san-dimas/28/,34.103778,-117.8212565,train
Manhattan Beach - Rosecrans Blvd (106),1800 Rosecrans Blvd,Manhattan Beach,CA,90266,310-725-9800,https://locations.traderjoes.com/ca/manhattan-beach/106/,,,train
Murrieta (258),40388 Murrieta Hot Springs Rd,Murrieta,CA,92563,951-528-5115,https://locations.traderjoes.com/ca/murrieta/258/,33.5539148,-117.1760019,train
Encinitas (25),"115 N El Camino Real, Ste A",Encinitas,CA,92024,760-634-2114,https://locations.traderjoes.com/ca/encinitas/25/,,,train
Concord (83),785 Oak Grove Rd,Concord,CA,94518,925-521-1134,https://locations.traderjoes.com/ca/concord/83/,37.9378109,-122.0258394,train
San Diego - Pacific Beach (21),1640 Garnet Ave,San Diego,CA,92109,858-581-9101,https://locations.traderjoes.com/ca/san-diego/21/,32.8008673,-117.240676,train
Pasadena (East) (32),3035 E Huntington Dr,Pasadena,CA,91107,626-356-2963,https://locations.traderjoes.com/ca/pasadena/32/,34.1040678,-118.1506652,train
Culver City (36),9290 Culver Blvd,Culver City,CA,90232,310-202-1108,https://locations.traderjoes.com/ca/culver-city/36/,34.0249362,-118.3933957,train
Chino Hills (216),13911 Peyton Drive,Chino Hills,CA,91709,909-627-1404,https://locations.traderjoes.com/ca/chino-hills/216/,34.0003623,-117.731996,train
Yorba Linda (176),19655 Yorba Linda Blvd,Yorba Linda,CA,92886,714-970-0116,https://locations.traderjoes.com/ca/yorba-linda/176/,33.8896122,-117.7923302,train
Woodland Hills (209),21055 Ventura Blvd,Woodland Hills,CA,91364,818-712-9475,https://locations.traderjoes.com/ca/woodland-hills/209/,34.1670194,-118.5922849,train
Santa Monica (6),3212 Pico Blvd,Santa Monica,CA,90405,310-581-0253,https://locations.traderjoes.com/ca/santa-monica/6/,34.0263503,-118.4558412,train
Montrose (52),2462 Honolulu Ave,Montrose,CA,91020,818-957-3613,https://locations.traderjoes.com/ca/montrose/52/,34.2069485,-118.2331818,train
Berkeley (186),1885 University Ave,Berkeley,CA,94703,510-204-9074,https://locations.traderjoes.com/ca/berkeley/186/,37.8713759,-122.2734567,train
San Francisco (Hayes Valley) (226),788 Laguna St,San Francisco,CA,94102,415-718-0175,https://locations.traderjoes.com/ca/san-francisco/226/,37.7781179,-122.4264269,train
Irvine - Woodbury Town Center (210),6222 Irvine Blvd,Irvine,CA,92620,949-551-6402,https://locations.traderjoes.com/ca/irvine/210/,33.6985059,-117.743302,train
Redlands (99),552 Orange St,Redlands,CA,92374,909-798-3888,https://locations.traderjoes.com/ca/redlands/99/,34.0604619,-117.1812162,train
Marina (261),150 10th St,Marina,CA,93933,831-281-7247,https://locations.traderjoes.com/ca/marina/261/,36.6643241,-121.8097793,train
San Francisco (100),3 Masonic Ave,San Francisco,CA,94118,415-346-9964,https://locations.traderjoes.com/ca/san-francisco/100/,37.7833984,-122.4478425,train
Oakland - Lakeshore (203),3250 Lakeshore Ave,Oakland,CA,94610,510-238-9076,https://locations.traderjoes.com/ca/oakland/203/,37.8097924,-122.2442621,train
South Pasadena (Fair Oaks) (4),1129 Fair Oaks Ave,South Pasadena,CA,91030,323-784-1840,https://locations.traderjoes.com/ca/south-pasadena/4/,34.1128895,-118.151408,train
Los Angeles - Burton Way (237),8500 Burton Way,Los Angeles,CA,90048,310-248-2984,https://locations.traderjoes.com/ca/los-angeles/237/,34.0711651,-118.3770707,train
Sherman Oaks (49),14119 Riverside Dr,Sherman Oaks,CA,91423,818-789-2771,https://locations.traderjoes.com/ca/sherman-oaks/49/,34.1579984,-118.4408206,train
Daly City (74),417 Westlake Center,Daly City,CA,94015,650-755-3825,https://locations.traderjoes.com/ca/daly-city/74/,37.7001684,-122.4822883,train
Capitola (64),"3555 Clares St, #D",Capitola,CA,95010,831-464-0115,https://locations.traderjoes.com/ca/capitola/64/,,,train
El Cerrito (108),225 El Cerrito Plaza,El Cerrito,CA,94530,510-524-7609,https://locations.traderjoes.com/ca/el-cerrito/108/,,,train
Riverside (15),6225 Riverside Plaza,Riverside,CA,92506,951-781-2378,https://locations.traderjoes.com/ca/riverside/15/,33.9539876,-117.3906928,train
Fairfield (101),"1350 Gateway Blvd, Ste A1-A7",Fairfield,CA,94533,707-434-0144,https://locations.traderjoes.com/ca/fairfield/101/,,,train
USC Village (250),"3131 S Hoover Street, Suite 1920",Los Angeles,CA,90089,213-749-1497,https://locations.traderjoes.com/ca/los-angeles/250/,,,train
Morgan Hill (202),17035 Laurel Rd,Morgan Hill,CA,95037,408-778-6409,https://locations.traderjoes.com/ca/morgan-hill/202/,37.1311833,-121.6382589,train
San Diego - Point Loma (188),2401 Truxtun Rd,San Diego,CA,92106,619-758-9272,https://locations.traderjoes.com/ca/san-diego/188/,32.736068,-117.2173712,train
Huntington Beach (47),18681 Main St,Huntington Beach,CA,92648,714-848-9640,https://locations.traderjoes.com/ca/huntington-beach/47/,33.6927305,-117.9925384,train
Pasadena - S Lake Ave (179),345 S Lake Ave,Pasadena,CA,91101,626-395-9553,https://locations.traderjoes.com/ca/pasadena/179/,34.1400318,-118.1329307,train
Santa Cruz (193),700 Front St,Santa Cruz,CA,95060,831-425-0140,https://locations.traderjoes.com/ca/santa-cruz/193/,36.9745224,-122.0248018,train
Olympic Blvd (215),11755 Olympic Blvd,Los Angeles,CA,90064,310-477-5949,https://locations.traderjoes.com/ca/los-angeles/215/,34.0337202,-118.4492798,train
Fair Oaks (71),5309 Sunrise Blvd,Fair Oaks,CA,95628,916-863-1744,https://locations.traderjoes.com/ca/fair-oaks/71/,38.6620983,-121.2749434,train
Redondo Beach (38),1761 S Elena Ave,Redondo Bch.,CA,90277,310-316-1745,https://locations.traderjoes.com/ca/redondo-bch-/38/,33.8185754,-118.386094,train
Sunset Blvd (192),8000 W Sunset Blvd,Los Angeles,CA,90046,323-822-7663,https://locations.traderjoes.com/ca/los-angeles/192/,34.0977188,-118.365044,train
Walnut Creek (123),1372 S California Blvd,Walnut Creek,CA,94596,925-945-1674,https://locations.traderjoes.com/ca/walnut-creek/123/,37.8931623,-122.0605269,train
Costa Mesa (290),"2170 Harbor Blvd, Ste 100",Costa Mesa,CA,92627,949-208-7420,https://locations.traderjoes.com/ca/costa-mesa/290/,,,train
San Diego - Carmel Mtn Ranch (23),11955 Carmel Mountain Rd,San Diego,CA,92128,858-673-0526,https://locations.traderjoes.com/ca/san-diego/23/,32.982014,-117.074986,train
Pacific Grove (79),1170 Forest Ave,Pacific Grove,CA,93950,831-656-0180,https://locations.traderjoes.com/ca/pacific-grove/79/,36.6055342,-121.9219508,train
Poway (265),13644 Poway Rd,Poway,CA,92064,858-294-6131,https://locations.traderjoes.com/ca/poway/265/,32.9579675,-117.0349203,train
Aliso Viejo (195),26541 Aliso Creek Rd,Aliso Viejo,CA,92656,949-643-5531,https://locations.traderjoes.com/ca/aliso-viejo/195/,33.5775084,-117.7248421,train
Silver Lake (17),2738 Hyperion Ave,Los Angeles,CA,90027,323-665-6774,https://locations.traderjoes.com/ca/los-angeles/17/,34.107207,-118.2720445,train
Glendale (53),103 E Glenoaks Blvd,Glendale,CA,91207,818-507-8192,https://locations.traderjoes.com/ca/glendale/53/,34.1597397,-118.254494,train
Redding (219),845 Browning St,Redding,CA,96003,530-223-4875,https://locations.traderjoes.com/ca/redding/219/,40.5916967,-122.3571455,train
Sacramento (175),5000 Folsom Blvd,Sacramento,CA,95819,916-456-1853,https://locations.traderjoes.com/ca/sacramento/175/,38.5604236,-121.4448978,train
Milpitas (229),1306 Great Mall Pkwy,Milpitas,CA,95035,408-942-6957,https://locations.traderjoes.com/ca/milpitas/229/,37.4125524,-121.8998299,train
Manhattan Beach Blvd (34),1821 Manhattan Beach Blvd,Manhattan Beach,CA,90266,310-372-1274,https://locations.traderjoes.com/ca/manhattan-beach/34/,33.887547,-118.3798207,train
San Diego - Hillcrest (26),"1090 University Avenue, Ste G100-107",San Diego,CA,92103,619-296-3122,https://locations.traderjoes.com/ca/san-diego/26/,,,train
Elk Grove (190),9670 Bruceville Road,Elk Grove,CA,95757,916-686-9980,https://locations.traderjoes.com/ca/elk-grove/190/,38.4065756,-121.4202938,train
Ventura (45),1795 S. Victoria Ave,Ventura,CA,93003,805-650-9977,https://locations.traderjoes.com/ca/ventura/45/,34.2572617,-119.2117413,train
La Quinta (189),46400 Washington St,La Quinta,CA,92253,760-777-1553,https://locations.traderjoes.com/ca/la-quinta/189/,33.7112353,-116.295067,train
Clovis (180),1077 N Willow Ave,Clovis,CA,93611,559-325-3120,https://locations.traderjoes.com/ca/clovis/180/,36.8495643,-119.7280729,train
Del Mar (223 ),13480 Highlands Place,San Diego,CA,92130,858-755-7130,https://locations.traderjoes.com/ca/san-diego/223/,32.9611584,-117.1913706,train
Palm Desert (3),44250 Town Center Way,Palm Desert,CA,92260,760-340-2291,https://locations.traderjoes.com/ca/palm-desert/3/,33.7275662,-116.3968576,train
Davis (182),885 Russell Blvd,Davis,CA,95616,530-757-2693,https://locations.traderjoes.com/ca/davis/182/,38.5467537,-121.7614973,train
Campbell (73),1875 Bascom Ave,Campbell,CA,95008,408-369-7823,https://locations.traderjoes.com/ca/campbell/73/,37.2889359,-121.9326934,train
Westchester (33),8645 S Sepulveda,Westchester,CA,90045,310-338-9238,https://locations.traderjoes.com/ca/westchester/33/,33.9586411,-118.3965106,train
Santa Barbara (59),222 North Milpas Street,Santa Barbara,CA,93103,805-560-1182,https://locations.traderjoes.com/ca/santa-barbara/59/,34.4249233,-119.68148,train
Brea (11),2500 E Imperial Hwy,Brea,CA,92821,714-257-1180,https://locations.traderjoes.com/ca/brea/11/,33.9105756,-117.8706382,train
Costa Mesa (35),640 W 17th St,Costa Mesa,CA,92627,949-642-5134,https://locations.traderjoes.com/ca/costa-mesa/35/,33.6362429,-117.9260495,train
Rocklin (228),"5116 Commons Dr., #103",Rocklin,CA,95677,916-660-9820,https://locations.traderjoes.com/ca/rocklin/228/,,,train
West Hills (50),6751 Fallbrook Ave,West Hills,CA,91307,818-347-2591,https://locations.traderjoes.com/ca/west-hills/50/,34.1930814,-118.6255657,train
San Diego - SDSU (224),"5140 College Ave, Ste 119",San Diego,CA,92115,619-229-9092,https://locations.traderjoes.com/ca/san-diego/224/,,,train
Bakersfield (14),"8200 Stockdale Hwy, #C21",Bakersfield,CA,93311,661-837-8863,https://locations.traderjoes.com/ca/bakersfield/14/,,,train
Danville (65),85 Railroad Ave,Danville,CA,94526,925-838-5757,https://locations.traderjoes.com/ca/danville/65/,37.8229304,-122.0032173,train
Palo Alto (207),855 El Camino Real,Palo Alto,CA,94301,650-327-7018,https://locations.traderjoes.com/ca/palo-alto/207/,37.4384554,-122.1576876,train
San Francisco - Pacific Place (225),10 4th Street,San Francisco,CA,94103,415-536-7801,https://locations.traderjoes.com/ca/san-francisco/225/,37.785398,-122.4056288,train
Pinole (230),2742 Pinole Valley Rd,Pinole,CA,94564,510-222-3501,https://locations.traderjoes.com/ca/pinole/230/,37.9952634,-122.2868265,train
West Hollywood (40),7310 Santa Monica Blvd,West Hollywood,CA,90046,323-969-8048,https://locations.traderjoes.com/ca/west-hollywood/40/,34.0905575,-118.3490124,train
Camarillo (114),363 Carmen Dr,Camarillo,CA,93010,805-388-1925,https://locations.traderjoes.com/ca/camarillo/114/,34.220633,-119.0505754,train
La Verne (277),2330 Foothill Blvd,La Verne,CA,91750,909-901-4568,https://locations.traderjoes.com/ca/la-verne/277/,34.1118295,-117.7610509,train
Rancho Cucamonga (217),6401 Haven Ave,Rancho Cucamonga,CA,91737,909-476-1410,https://locations.traderjoes.com/ca/rancho-cucamonga/217/,34.1376862,-117.5741176,train
Torrance - Rolling Hills Plaza (29),2545 Pacific Coast Hwy,Torrance,CA,90505,310-326-9520,https://locations.traderjoes.com/ca/torrance/29/,33.7907436,-118.3300923,train
Wilshire (253),"2300 Wilshire Blvd, Ste 101",Santa Monica,CA,90403,310-264-2223,https://locations.traderjoes.com/ca/santa-monica/253/,,,train
Agoura Hills (247),28941 Canwood St,Agoura Hills,CA,91301,818-865-8217,https://locations.traderjoes.com/ca/agoura-hills/247/,34.146489,-118.7565773,train
Templeton (211),1111 Rossi Road,Templeton,CA,93465,805-434-9562,https://locations.traderjoes.com/ca/templeton/211/,,,train
San Mateo - Grant St (67),,San Mateo,CA,94402,650-570-6140,https://locations.traderjoes.com/ca/san-mateo/67/,37.6535403,-122.4168664,train
Long Beach - PCH (43),6451 E Pacific Coast Hwy,Long Beach,CA,90803,562-596-4388,https://locations.traderjoes.com/ca/long-beach/43/,33.7615527,-118.1143996,train
San Ramon (246),300 Market Place,San Ramon,CA,94583,925-275-8140,https://locations.traderjoes.com/ca/san-ramon/246/,37.7641577,-121.9520829,train
Lafayette (115),3649 Mt Diablo Blvd,Lafayette,CA,94549,925-299-9344,https://locations.traderjoes.com/ca/lafayette/115/,37.8902512,-122.1269225,train
Fremont (77),39324 Argonaut Way,Fremont,CA,94538,510-794-1386,https://locations.traderjoes.com/ca/fremont/77/,37.5435716,-121.9860846,train
San Clemente (16),638 Camino de Los Mares,San Clemente,CA,92673,949-240-9996,https://locations.traderjoes.com/ca/san-clemente/16/,33.4573061,-117.6492461,train
Culver City (251),6150 Slauson Ave,Culver City,CA,90230,310-313-0441,https://locations.traderjoes.com/ca/culver-city/251/,33.9879295,-118.3930851,train
Escondido (105),1885 S Centre City Pkwy,Escondido,CA,92025,760-233-4020,https://locations.traderjoes.com/ca/escondido/105/,33.1000685,-117.0747179,train
Rancho Santa Margarita (27),30652 Santa Margarita Pkwy,Rancho Santa Margarita,CA,92688,949-888-3640,https://locations.traderjoes.com/ca/rancho-santa-margarita/27/,33.6424559,-117.5954467,train
Concord (60),1150 Concord Ave,Concord,CA,94520,925-689-2990,https://locations.traderjoes.com/ca/concord/60/,37.979301,-122.0561587,train
San Juan Capistrano (249),32151 Camino Capistrano,San Juan Capistrano,CA,92675,949-496-4150,https://locations.traderjoes.com/ca/san-juan-capistrano/249/,33.4960297,-117.6634466,train
San Jose - Coleman Ave (212),635 Coleman Ave,San Jose,CA,95110,408-298-9731,https://locations.traderjoes.com/ca/san-jose/212/,37.340982,-121.9093784,train
West Los Angeles - Sepulveda (119),3456 S Sepulveda Blvd,Los Angeles,CA,90034,310-836-2458,https://locations.traderjoes.com/ca/los-angeles/119/,34.0201544,-118.4228153,train
Encino (56),17640 Burbank Blvd,Encino,CA,91316,818-990-7751,https://locations.traderjoes.com/ca/encino/56/,34.1718379,-118.5177851,train
Santa Rosa Ave (178),2100 Santa Rosa Ave,Santa Rosa,CA,95407,707-535-0788,https://locations.traderjoes.com/ca/santa-rosa/178/,38.4174917,-122.7120047,train
Goleta (110),5767 Calle Real,Goleta,CA,93117,805-692-2234,https://locations.traderjoes.com/ca/goleta/110/,34.4407421,-119.8250202,train
Monterey (204),"570 Munras Ave, Ste 20",Monterey,CA,93940,831-372-2010,https://locations.traderjoes.com/ca/monterey/204/,,,train
San Mateo - Hillsdale (245),45 W Hillsdale Blvd,San Mateo,CA,94403,650-286-1509,https://locations.traderjoes.com/ca/san-mateo/245/,37.5354941,-122.298437,train
Folsom (172),850 East Bidwell,Folsom,CA,95630,916-817-8820,https://locations.traderjoes.com/ca/folsom/172/,38.6724297,-121.1558851,train
Scripps Ranch (221),9850 Hibert St,San Diego,CA,92131,858-549-9185,https://locations.traderjoes.com/ca/san-diego/221/,32.9139177,-117.1133224,train
Arroyo Grande (117),955 Rancho Pkwy,Arroyo Grande,CA,93420,805-474-6114,https://locations.traderjoes.com/ca/arroyo-grande/117/,35.1263213,-120.594975,train
Oakland - Rockridge (231),5727 College Ave,Oakland,CA,94618,510-923-9428,https://locations.traderjoes.com/ca/oakland/231/,37.8455422,-122.252612,train
Huntington Harbour (244),16821 Algonquin St,Huntington Beach,CA,92649,714-846-7307,https://locations.traderjoes.com/ca/huntington-beach/244/,33.7206847,-118.0501673,train
Sacramento (70),2625 Marconi Ave,Sacramento,CA,95821,916-481-8797,https://locations.traderjoes.com/ca/sacramento/70/,38.6185413,-121.400195,train
Newbury Park (243),125 N Reino Road,Thousand Oaks,CA,91320,805-375-1984,https://locations.traderjoes.com/ca/thousand-oaks/243/,34.1799396,-118.9539342,train
Santa Ana (113),3329 S Bristol St,Santa Ana,CA,92704,714-424-9304,https://locations.traderjoes.com/ca/santa-ana/113/,33.7013463,-117.8842227,train
Tracy (269),2530 Naglee Rd,Tracy,CA,95304,209-913-5511,https://locations.traderjoes.com/ca/tracy/269/,37.755664,-121.4661111,train
Larkspur (235),2052 Redwood Hwy,Greenbrae,CA,94904,415-945-7955,https://locations.traderjoes.com/ca/greenbrae/235/,37.937841,-122.5149545,train
West Los Angeles (7),10850 National Blvd,Los Angeles,CA,90064,310-470-1917,https://locations.traderjoes.com/ca/los-angeles/7/,34.030118,-118.421648,train
Eagle Rock (55),1566 Colorado Blvd,Eagle Rock,CA,90041,323-257-6422,https://locations.traderjoes.com/ca/eagle-rock/55/,34.1390839,-118.2003769,train
Brentwood (201),5451 Lone Tree Way,Brentwood,CA,94513,925-516-3044,https://locations.traderjoes.com/ca/brentwood/201/,37.9606971,-121.7499866,train
Palmdale (185),39507 10th St W,Palmdale,CA,93551,661-947-2890,https://locations.traderjoes.com/ca/palmdale/185/,34.6003065,-118.14914,train
Mission Viejo (126),25410 Marguerite Pkwy,Mission Viejo,CA,92692,949-581-5638,https://locations.traderjoes.com/ca/mission-viejo/126/,33.5925609,-117.658887,train
Los Gatos (181),15466 Los Gatos Blvd,Los Gatos,CA,95032,408-356-2324,https://locations.traderjoes.com/ca/los-gatos/181/,37.2445654,-121.958614,train
Sunnyvale (68),316 West El Camino Real,Sunnyvale,CA,94087,408-736-7573,https://locations.traderjoes.com/ca/sunnyvale/68/,37.3679656,-122.0358812,train
Thousand Oaks (196),451 Avenida De Los Arboles,Thousand Oaks,CA,91360,805-492-7107,https://locations.traderjoes.com/ca/thousand-oaks/196/,34.2189137,-118.8691687,train
Millbrae (170),765 Broadway,Millbrae,CA,94030,650-259-9142,https://locations.traderjoes.com/ca/millbrae/170/,37.6038042,-122.395901,train
Burbank (124),214 E Alameda Ave,Burbank,CA,91502,818-848-4299,https://locations.traderjoes.com/ca/burbank/124/,34.1746658,-118.2997343,train
Carlsbad (220),2629 Gateway Rd,Carlsbad,CA,92009,760-603-8473,https://locations.traderjoes.com/ca/carlsbad/220/,33.1266502,-117.2546644,train
La Jolla (20),8657 Villa la Jolla Dr,La Jolla,CA,92037,858-546-8629,https://locations.traderjoes.com/ca/la-jolla/20/,32.8657727,-117.2322186,train
Simi Valley (30),,Simi Valley,CA,93065,805-520-3135,https://locations.traderjoes.com/ca/simi-valley/30/,,,train
South Pasadena (18),613 Mission St,S. Pasadena,CA,91030,626-441-6263,https://locations.traderjoes.com/ca/s-pasadena/18/,34.1152989,-118.1629595,train
Chatsworth (184),10330 Mason Ave,Chatsworth,CA,91311,818-341-3010,https://locations.traderjoes.com/ca/chatsworth/184/,34.2582554,-118.5787951,train
